FE,mean_best,std_best,log10_mean_best
5605,7.888609052210118e-32,2.3665827156630358e-31,-31.10299956639812
5706,4.4373425918681915e-32,1.3312027775604575e-31,-31.352877039614718
5807,4.930380657631324e-33,1.4791141972893974e-32,-32.30711954905404
5908,0.0,0.0,-300.0
6009,0.0,0.0,-300.0
6110,0.0,0.0,-300.0
6211,0.0,0.0,-300.0
6312,0.0,0.0,-300.0
6413,0.0,0.0,-300.0
6514,0.0,0.0,-300.0
6615,0.0,0.0,-300.0
6716,0.0,0.0,-300.0
6817,0.0,0.0,-300.0
6918,0.0,0.0,-300.0
7019,0.0,0.0,-300.0
7120,0.0,0.0,-300.0
7221,0.0,0.0,-300.0
7322,0.0,0.0,-300.0
7423,0.0,0.0,-300.0
7524,0.0,0.0,-300.0
7625,0.0,0.0,-300.0
7726,0.0,0.0,-300.0
7827,0.0,0.0,-300.0
7928,0.0,0.0,-300.0
8029,0.0,0.0,-300.0
8130,0.0,0.0,-300.0
8231,0.0,0.0,-300.0
8332,0.0,0.0,-300.0
8433,0.0,0.0,-300.0
8534,0.0,0.0,-300.0
8635,0.0,0.0,-300.0
8736,0.0,0.0,-300.0
8837,0.0,0.0,-300.0
8938,0.0,0.0,-300.0
9039,0.0,0.0,-300.0
9140,0.0,0.0,-300.0
9241,0.0,0.0,-300.0
9342,0.0,0.0,-300.0
9443,0.0,0.0,-300.0
9544,0.0,0.0,-300.0
9645,0.0,0.0,-300.0
9746,0.0,0.0,-300.0
9847,0.0,0.0,-300.0
9948,0.0,0.0,-300.0
10049,0.0,0.0,-300.0
10150,0.0,0.0,-300.0
10251,0.0,0.0,-300.0
10352,0.0,0.0,-300.0
10453,0.0,0.0,-300.0
10554,0.0,0.0,-300.0
10655,0.0,0.0,-300.0
10756,0.0,0.0,-300.0
10857,0.0,0.0,-300.0
10958,0.0,0.0,-300.0
11059,0.0,0.0,-300.0
11160,0.0,0.0,-300.0
11261,0.0,0.0,-300.0
11362,0.0,0.0,-300.0
11463,0.0,0.0,-300.0
11564,0.0,0.0,-300.0
11665,0.0,0.0,-300.0
11766,0.0,0.0,-300.0
11867,0.0,0.0,-300.0
11968,0.0,0.0,-300.0
12069,0.0,0.0,-300.0
12170,0.0,0.0,-300.0
12271,0.0,0.0,-300.0
12372,0.0,0.0,-300.0
12473,0.0,0.0,-300.0
12574,0.0,0.0,-300.0
12675,0.0,0.0,-300.0
12776,0.0,0.0,-300.0
12877,0.0,0.0,-300.0
12978,0.0,0.0,-300.0
13079,0.0,0.0,-300.0
13180,0.0,0.0,-300.0
13281,0.0,0.0,-300.0
13382,0.0,0.0,-300.0
13483,0.0,0.0,-300.0
13584,0.0,0.0,-300.0
13685,0.0,0.0,-300.0
13786,0.0,0.0,-300.0
13887,0.0,0.0,-300.0
13988,0.0,0.0,-300.0
14089,0.0,0.0,-300.0
14190,0.0,0.0,-300.0
14291,0.0,0.0,-300.0
14392,0.0,0.0,-300.0
14493,0.0,0.0,-300.0
14594,0.0,0.0,-300.0
14695,0.0,0.0,-300.0
14796,0.0,0.0,-300.0
14897,0.0,0.0,-300.0
14998,0.0,0.0,-300.0
15099,0.0,0.0,-300.0
15200,0.0,0.0,-300.0
15301,0.0,0.0,-300.0
15402,0.0,0.0,-300.0
15503,0.0,0.0,-300.0
15604,0.0,0.0,-300.0
15705,0.0,0.0,-300.0
15806,0.0,0.0,-300.0
15907,0.0,0.0,-300.0
16008,0.0,0.0,-300.0
16109,0.0,0.0,-300.0
16210,0.0,0.0,-300.0
16311,0.0,0.0,-300.0
16412,0.0,0.0,-300.0
16513,0.0,0.0,-300.0
16614,0.0,0.0,-300.0
16715,0.0,0.0,-300.0
16816,0.0,0.0,-300.0
16917,0.0,0.0,-300.0
17018,0.0,0.0,-300.0
17119,0.0,0.0,-300.0
17220,0.0,0.0,-300.0
17321,0.0,0.0,-300.0
17422,0.0,0.0,-300.0
17523,0.0,0.0,-300.0
17624,0.0,0.0,-300.0
17725,0.0,0.0,-300.0
17826,0.0,0.0,-300.0
17927,0.0,0.0,-300.0
18028,0.0,0.0,-300.0
18129,0.0,0.0,-300.0
18230,0.0,0.0,-300.0
18331,0.0,0.0,-300.0
18432,0.0,0.0,-300.0
18533,0.0,0.0,-300.0
18634,0.0,0.0,-300.0
18735,0.0,0.0,-300.0
18836,0.0,0.0,-300.0
18937,0.0,0.0,-300.0
19038,0.0,0.0,-300.0
19139,0.0,0.0,-300.0
19240,0.0,0.0,-300.0
19341,0.0,0.0,-300.0
19442,0.0,0.0,-300.0
19543,0.0,0.0,-300.0
19644,0.0,0.0,-300.0
19745,0.0,0.0,-300.0
19846,0.0,0.0,-300.0
19947,0.0,0.0,-300.0
20048,0.0,0.0,-300.0
20149,0.0,0.0,-300.0
20250,0.0,0.0,-300.0
20351,0.0,0.0,-300.0
20452,0.0,0.0,-300.0
20553,0.0,0.0,-300.0
20654,0.0,0.0,-300.0
20755,0.0,0.0,-300.0
20856,0.0,0.0,-300.0
20957,0.0,0.0,-300.0
21058,0.0,0.0,-300.0
21159,0.0,0.0,-300.0
21260,0.0,0.0,-300.0
21361,0.0,0.0,-300.0
