FE,mean_best,std_best,log10_mean_best
7827,0.0,0.0,-inf
7928,0.0,0.0,-inf
8029,0.0,0.0,-inf
8130,0.0,0.0,-inf
8231,0.0,0.0,-inf
8332,0.0,0.0,-inf
8433,0.0,0.0,-inf
8534,0.0,0.0,-inf
8635,0.0,0.0,-inf
8736,0.0,0.0,-inf
8837,0.0,0.0,-inf
8938,0.0,0.0,-inf
9039,0.0,0.0,-inf
9140,0.0,0.0,-inf
9241,0.0,0.0,-inf
9342,0.0,0.0,-inf
9443,0.0,0.0,-inf
9544,0.0,0.0,-inf
9645,0.0,0.0,-inf
9746,0.0,0.0,-inf
9847,0.0,0.0,-inf
9948,0.0,0.0,-inf
10049,0.0,0.0,-inf
10150,0.0,0.0,-inf
10251,0.0,0.0,-inf
10352,0.0,0.0,-inf
10453,0.0,0.0,-inf
10554,0.0,0.0,-inf
10655,0.0,0.0,-inf
10756,0.0,0.0,-inf
10857,0.0,0.0,-inf
10958,0.0,0.0,-inf
11059,0.0,0.0,-inf
11160,0.0,0.0,-inf
11261,0.0,0.0,-inf
11362,0.0,0.0,-inf
11463,0.0,0.0,-inf
11564,0.0,0.0,-inf
11665,0.0,0.0,-inf
11766,0.0,0.0,-inf
11867,0.0,0.0,-inf
11968,0.0,0.0,-inf
12069,0.0,0.0,-inf
12170,0.0,0.0,-inf
12271,0.0,0.0,-inf
12372,0.0,0.0,-inf
12473,0.0,0.0,-inf
12574,0.0,0.0,-inf
12675,0.0,0.0,-inf
12776,0.0,0.0,-inf
12877,0.0,0.0,-inf
12978,0.0,0.0,-inf
13079,0.0,0.0,-inf
13180,0.0,0.0,-inf
13281,0.0,0.0,-inf
13382,0.0,0.0,-inf
13483,0.0,0.0,-inf
13584,0.0,0.0,-inf
13685,0.0,0.0,-inf
13786,0.0,0.0,-inf
13887,0.0,0.0,-inf
13988,0.0,0.0,-inf
14089,0.0,0.0,-inf
14190,0.0,0.0,-inf
14291,0.0,0.0,-inf
14392,0.0,0.0,-inf
14493,0.0,0.0,-inf
14594,0.0,0.0,-inf
14695,0.0,0.0,-inf
14796,0.0,0.0,-inf
14897,0.0,0.0,-inf
14998,0.0,0.0,-inf
15099,0.0,0.0,-inf
15200,0.0,0.0,-inf
15301,0.0,0.0,-inf
15402,0.0,0.0,-inf
15503,0.0,0.0,-inf
15604,0.0,0.0,-inf
15705,0.0,0.0,-inf
15806,0.0,0.0,-inf
15907,0.0,0.0,-inf
16008,0.0,0.0,-inf
16109,0.0,0.0,-inf
16210,0.0,0.0,-inf
16311,0.0,0.0,-inf
16412,0.0,0.0,-inf
16513,0.0,0.0,-inf
16614,0.0,0.0,-inf
16715,0.0,0.0,-inf
16816,0.0,0.0,-inf
16917,0.0,0.0,-inf
17018,0.0,0.0,-inf
17119,0.0,0.0,-inf
17220,0.0,0.0,-inf
17321,0.0,0.0,-inf
17422,0.0,0.0,-inf
17523,0.0,0.0,-inf
17624,0.0,0.0,-inf
17725,0.0,0.0,-inf
17826,0.0,0.0,-inf
17927,0.0,0.0,-inf
18028,0.0,0.0,-inf
18129,0.0,0.0,-inf
18230,0.0,0.0,-inf
18331,0.0,0.0,-inf
18432,0.0,0.0,-inf
18533,0.0,0.0,-inf
18634,0.0,0.0,-inf
18735,0.0,0.0,-inf
18836,0.0,0.0,-inf
18937,0.0,0.0,-inf
19038,0.0,0.0,-inf
19139,0.0,0.0,-inf
19240,0.0,0.0,-inf
19341,0.0,0.0,-inf
19442,0.0,0.0,-inf
19543,0.0,0.0,-inf
19644,0.0,0.0,-inf
19745,0.0,0.0,-inf
19846,0.0,0.0,-inf
19947,0.0,0.0,-inf
20048,0.0,0.0,-inf
20149,0.0,0.0,-inf
20250,0.0,0.0,-inf
20351,0.0,0.0,-inf
20452,0.0,0.0,-inf
20553,0.0,0.0,-inf
20654,0.0,0.0,-inf
20755,0.0,0.0,-inf
20856,0.0,0.0,-inf
20957,0.0,0.0,-inf
21058,0.0,0.0,-inf
21159,0.0,0.0,-inf
21260,0.0,0.0,-inf
21361,0.0,0.0,-inf
21462,0.0,0.0,-inf
21563,0.0,0.0,-inf
21664,0.0,0.0,-inf
21765,0.0,0.0,-inf
21866,0.0,0.0,-inf
21967,0.0,0.0,-inf
22068,0.0,0.0,-inf
22169,0.0,0.0,-inf
22270,0.0,0.0,-inf
22371,0.0,0.0,-inf
22472,0.0,0.0,-inf
22573,0.0,0.0,-inf
22674,0.0,0.0,-inf
22775,0.0,0.0,-inf
22876,0.0,0.0,-inf
22977,0.0,0.0,-inf
23078,0.0,0.0,-inf
23179,0.0,0.0,-inf
23280,0.0,0.0,-inf
23381,0.0,0.0,-inf
23482,0.0,0.0,-inf
23583,0.0,0.0,-inf
23684,0.0,0.0,-inf
23785,0.0,0.0,-inf
23886,0.0,0.0,-inf
23987,0.0,0.0,-inf
24088,0.0,0.0,-inf
24189,0.0,0.0,-inf
24290,0.0,0.0,-inf
24391,0.0,0.0,-inf
24492,0.0,0.0,-inf
24593,0.0,0.0,-inf
24694,0.0,0.0,-inf
24795,0.0,0.0,-inf
24896,0.0,0.0,-inf
24997,0.0,0.0,-inf
25098,0.0,0.0,-inf
25199,0.0,0.0,-inf
25300,0.0,0.0,-inf
25401,0.0,0.0,-inf
25502,0.0,0.0,-inf
25603,0.0,0.0,-inf
25704,0.0,0.0,-inf
25805,0.0,0.0,-inf
25906,0.0,0.0,-inf
26007,0.0,0.0,-inf
26108,0.0,0.0,-inf
26209,0.0,0.0,-inf
26310,0.0,0.0,-inf
26411,0.0,0.0,-inf
26512,0.0,0.0,-inf
26613,0.0,0.0,-inf
26714,0.0,0.0,-inf
26815,0.0,0.0,-inf
26916,0.0,0.0,-inf
27017,0.0,0.0,-inf
27118,0.0,0.0,-inf
27219,0.0,0.0,-inf
27320,0.0,0.0,-inf
27421,0.0,0.0,-inf
27522,0.0,0.0,-inf
27623,0.0,0.0,-inf
27724,0.0,0.0,-inf
27825,0.0,0.0,-inf
27926,0.0,0.0,-inf
28027,0.0,0.0,-inf
28128,0.0,0.0,-inf
28229,0.0,0.0,-inf
28330,0.0,0.0,-inf
28431,0.0,0.0,-inf
28532,0.0,0.0,-inf
28633,0.0,0.0,-inf
28734,0.0,0.0,-inf
28835,0.0,0.0,-inf
28936,0.0,0.0,-inf
29037,0.0,0.0,-inf
29138,0.0,0.0,-inf
29239,0.0,0.0,-inf
29340,0.0,0.0,-inf
29441,0.0,0.0,-inf
29542,0.0,0.0,-inf
29643,0.0,0.0,-inf
29744,0.0,0.0,-inf
29845,0.0,0.0,-inf
29946,0.0,0.0,-inf
30047,0.0,0.0,-inf
30148,0.0,0.0,-inf
30249,0.0,0.0,-inf
30350,0.0,0.0,-inf
30451,0.0,0.0,-inf
30552,0.0,0.0,-inf
30653,0.0,0.0,-inf
30754,0.0,0.0,-inf
30855,0.0,0.0,-inf
30956,0.0,0.0,-inf
31057,0.0,0.0,-inf
31158,0.0,0.0,-inf
31259,0.0,0.0,-inf
31360,0.0,0.0,-inf
31461,0.0,0.0,-inf
31562,0.0,0.0,-inf
31663,0.0,0.0,-inf
31764,0.0,0.0,-inf
31865,0.0,0.0,-inf
31966,0.0,0.0,-inf
32067,0.0,0.0,-inf
32168,0.0,0.0,-inf
32269,0.0,0.0,-inf
32370,0.0,0.0,-inf
32471,0.0,0.0,-inf
32572,0.0,0.0,-inf
32673,0.0,0.0,-inf
32774,0.0,0.0,-inf
32875,0.0,0.0,-inf
32976,0.0,0.0,-inf
33077,0.0,0.0,-inf
33178,0.0,0.0,-inf
33279,0.0,0.0,-inf
33380,0.0,0.0,-inf
33481,0.0,0.0,-inf
33582,0.0,0.0,-inf
33683,0.0,0.0,-inf
33784,0.0,0.0,-inf
33885,0.0,0.0,-inf
33986,0.0,0.0,-inf
34087,0.0,0.0,-inf
34188,0.0,0.0,-inf
34289,0.0,0.0,-inf
34390,0.0,0.0,-inf
34491,0.0,0.0,-inf
34592,0.0,0.0,-inf
34693,0.0,0.0,-inf
34794,0.0,0.0,-inf
34895,0.0,0.0,-inf
34996,0.0,0.0,-inf
35097,0.0,0.0,-inf
35198,0.0,0.0,-inf
35299,0.0,0.0,-inf
35400,0.0,0.0,-inf
