Algorytm,Funkcja testowa,Liczba szukanych parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum (wektor),Odchylenie std. parametrów (wektor),"Współczynnik zmienności parametrów (wektor, %)",Użyto std zamiast CV dla współrzędnych (bool per coord),Wartość funkcji celu (min),Odchylenie std. wartości funkcji celu,Współczynnik zmienności wartości funkcji celu (%),Użyto std zamiast CV dla wartości funkcji (bool),Najgorsze rozwiązanie (wartość funkcji),Najgorsze rozwiązanie (wektor)
GTOA,Rosenbrock,10,40,20,"[0.07489244868259465, 0.008201020866936859, -0.004178490514796478, 5.582841521994004e-06, 0.00553491175593582, -0.003629002116760473, 0.005790334480328138, 0.027790625573434306, 0.02271859240191833, 0.0063084785554176435]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.871586951402373,0.0,0.0,False,8.871586951402373,"[0.07489244868259465, 0.008201020866936859, -0.004178490514796478, 5.582841521994004e-06, 0.00553491175593582, -0.003629002116760473, 0.005790334480328138, 0.027790625573434306, 0.02271859240191833, 0.0063084785554176435]"
GTOA,Rosenbrock,10,60,20,"[0.07212930940587407, 0.00705126953712686, -0.003111770809318803, -0.0005835432989224363, 0.006155486540386612, -0.0023446031838647604, 0.004029708773851242, 0.027998568872526827, 0.021059983419615447, 0.004701974808112538]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.870359105015105,0.0,0.0,False,8.870359105015105,"[0.07212930940587407, 0.00705126953712686, -0.003111770809318803, -0.0005835432989224363, 0.006155486540386612, -0.0023446031838647604, 0.004029708773851242, 0.027998568872526827, 0.021059983419615447, 0.004701974808112538]"
GTOA,Rosenbrock,10,80,20,"[0.07213794264138113, 0.007043855827117971, -0.0031088464001362845, -0.0005844640948179763, 0.006157101506472812, -0.0023378572663133265, 0.004022241580615692, 0.028000514882690626, 0.021068935175125845, 0.004694744807271724]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.870359042198585,0.0,0.0,False,8.870359042198585,"[0.07213794264138113, 0.007043855827117971, -0.0031088464001362845, -0.0005844640948179763, 0.006157101506472812, -0.0023378572663133265, 0.004022241580615692, 0.028000514882690626, 0.021068935175125845, 0.004694744807271724]"
GTOA,Rosenbrock,10,5000,20,"[0.07213872742615529, 0.007041608628431599, -0.0031093400629601566, -0.000583147181096722, 0.006155293261799017, -0.002337436345636905, 0.004022247685485288, 0.0279959923112065, 0.02107597896845902, 0.004694750021858615]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.870359033353596,0.0,0.0,False,8.870359033353596,"[0.07213872742615529, 0.007041608628431599, -0.0031093400629601566, -0.000583147181096722, 0.006155293261799017, -0.002337436345636905, 0.004022247685485288, 0.0279959923112065, 0.02107597896845902, 0.004694750021858615]"
GTOA,Rosenbrock,10,5,40,"[0.006966497189081825, 0.0019796187857025124, 0.004722404052761663, 0.009307034761333266, 0.0033374054383391062, -0.007464689983192126, 0.005912897521655881, -0.0004168734678222999, -0.007965529073196911, 0.010186518131000383]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",9.00547875702208,0.0,0.0,False,9.00547875702208,"[0.006966497189081825, 0.0019796187857025124, 0.004722404052761663, 0.009307034761333266, 0.0033374054383391062, -0.007464689983192126, 0.005912897521655881, -0.0004168734678222999, -0.007965529073196911, 0.010186518131000383]"
GTOA,Rosenbrock,10,10,40,"[0.012499279877348023, 0.007431937215528386, 0.010884359787318162, 0.0010092857517601441, 0.008342698112284424, 0.013213522454521964, 0.008716350656631754, 0.009056818573441277, -0.0023353184468040806, 0.011490214066812889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.933571347131727,0.0,0.0,False,8.933571347131727,"[0.012499279877348023, 0.007431937215528386, 0.010884359787318162, 0.0010092857517601441, 0.008342698112284424, 0.013213522454521964, 0.008716350656631754, 0.009056818573441277, -0.0023353184468040806, 0.011490214066812889]"
GTOA,Rosenbrock,10,20,40,"[0.04285315814033085, 0.008748736143457296, 0.0009177312432582049, 0.020898788954916238, 0.011947206649892721, 0.010588517940458656, 0.010024763224408836, 0.015998977015602066, 0.007096287151940388, 0.013544458110328643]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.875535877448483,0.0,0.0,False,8.875535877448483,"[0.04285315814033085, 0.008748736143457296, 0.0009177312432582049, 0.020898788954916238, 0.011947206649892721, 0.010588517940458656, 0.010024763224408836, 0.015998977015602066, 0.007096287151940388, 0.013544458110328643]"
GTOA,Rosenbrock,10,40,40,"[0.03946243166032331, 0.008641382126819142, 0.00012161787266629503, 0.017967656122041306, 0.011825705135164979, 0.012671990095336694, 0.010553152631290788, 0.015770149359648718, 0.008698271010130048, 0.01098411093223786]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.871864844949368,0.0,0.0,False,8.871864844949368,"[0.03946243166032331, 0.008641382126819142, 0.00012161787266629503, 0.017967656122041306, 0.011825705135164979, 0.012671990095336694, 0.010553152631290788, 0.015770149359648718, 0.008698271010130048, 0.01098411093223786]"
GTOA,Rosenbrock,10,60,40,"[0.040345521851750096, 0.009016815538932927, -0.0002946136984182972, 0.018184029555449194, 0.012417501504155663, 0.01428899856842398, 0.011941147870064492, 0.016621064232078025, 0.008901848265585155, 0.00986699867398281]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.87112936664334,0.0,0.0,False,8.87112936664334,"[0.040345521851750096, 0.009016815538932927, -0.0002946136984182972, 0.018184029555449194, 0.012417501504155663, 0.01428899856842398, 0.011941147870064492, 0.016621064232078025, 0.008901848265585155, 0.00986699867398281]"
GTOA,Rosenbrock,10,80,40,"[0.040426141034113176, 0.009044874012162366, -0.00029316598013644457, 0.018204185515085375, 0.012440286735739953, 0.014299056224863623, 0.011927865941129481, 0.01663574321761553, 0.00896243186560456, 0.009934641817667851]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.871126758644564,0.0,0.0,False,8.871126758644564,"[0.040426141034113176, 0.009044874012162366, -0.00029316598013644457, 0.018204185515085375, 0.012440286735739953, 0.014299056224863623, 0.011927865941129481, 0.01663574321761553, 0.00896243186560456, 0.009934641817667851]"
GTOA,Rosenbrock,10,5000,40,"[0.040426141034113176, 0.009044874012162366, -0.00029316598013644457, 0.018204185515085375, 0.012440286735739953, 0.014299056224863623, 0.011927865941129481, 0.01663574321761553, 0.00896243186560456, 0.009934641817667851]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.871126758644564,0.0,0.0,False,8.871126758644564,"[0.040426141034113176, 0.009044874012162366, -0.00029316598013644457, 0.018204185515085375, 0.012440286735739953, 0.014299056224863623, 0.011927865941129481, 0.01663574321761553, 0.00896243186560456, 0.009934641817667851]"
GTOA,Rosenbrock,10,5,80,"[0.007920524283312936, 0.0013298103636119468, 0.00901413928198106, -0.0053764851536495135, 0.0051111573270873414, 0.008693768074611993, -0.00017264925312388544, 0.007653822723529196, 0.015052793179074389, -0.016700739225849234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.98046535407676,0.0,0.0,False,8.98046535407676,"[0.007920524283312936, 0.0013298103636119468, 0.00901413928198106, -0.0053764851536495135, 0.0051111573270873414, 0.008693768074611993, -0.00017264925312388544, 0.007653822723529196, 0.015052793179074389, -0.016700739225849234]"
GTOA,Rosenbrock,10,10,80,"[0.019749280081388397, 0.009216487117832536, 0.010827876636415561, 0.006110418622043387, 0.012581339689230158, 0.012792559472558437, 0.014971373968058848, 0.0163756405523808, 0.007093936184582798, -0.0034935938569210885]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.890606496064352,0.0,0.0,False,8.890606496064352,"[0.019749280081388397, 0.009216487117832536, 0.010827876636415561, 0.006110418622043387, 0.012581339689230158, 0.012792559472558437, 0.014971373968058848, 0.0163756405523808, 0.007093936184582798, -0.0034935938569210885]"
GTOA,Rosenbrock,10,20,80,"[0.040359135853707304, 0.006116672481880326, 0.01967760068620781, 0.010217984574930651, 0.010132745097812406, 0.01711948776123256, 0.014544693365895724, 0.014223970844318116, 0.007628455016302208, 0.003182651368761338]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.858686949654151,0.0,0.0,False,8.858686949654151,"[0.040359135853707304, 0.006116672481880326, 0.01967760068620781, 0.010217984574930651, 0.010132745097812406, 0.01711948776123256, 0.014544693365895724, 0.014223970844318116, 0.007628455016302208, 0.003182651368761338]"
GTOA,Rosenbrock,10,40,80,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.848671867716302,0.0,0.0,False,8.848671867716302,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]"
GTOA,Rosenbrock,10,60,80,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.848671867716302,0.0,0.0,False,8.848671867716302,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]"
GTOA,Rosenbrock,10,80,80,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.848671867716302,0.0,0.0,False,8.848671867716302,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]"
GTOA,Rosenbrock,10,5000,80,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.848671867716302,0.0,0.0,False,8.848671867716302,"[0.058014378264694855, 0.002846904490786004, 0.025806319762890956, 0.011952518118084994, 0.010466423667745473, 0.01928110072410081, 0.01387141701155497, 0.011068525653711012, 0.004822133674229482, 0.003080638277497761]"
