Algorytm,P1,Funkcja testowa,Liczba parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum,Odchylenie std parametrów,Wartość funkcji celu,Wartość funkcji celu (najgorsza),Odchylenie std funkcji celu
GTOA,50000,Rosenbrock,10,40,80,"(0.3785, 0.1474, 0.0302, 0.0286, 0.0067, -0.0255, 0.0064, 0.0522, 0.0366, 0.0266)","(0.1060, 0.0396, 0.0097, 0.0086, 0.0090, 0.0152, 0.0109, 0.0176, 0.0101, 0.0104)",8.458e+00,8.888e+00,0.152
GTOA,50000,Rosenbrock,10,60,80,"(0.3751, 0.1463, 0.0301, 0.0265, 0.0078, -0.0256, 0.0069, 0.0519, 0.0360, 0.0273)","(0.1035, 0.0386, 0.0114, 0.0087, 0.0090, 0.0150, 0.0110, 0.0178, 0.0101, 0.0112)",8.457e+00,8.888e+00,0.151
GTOA,50000,Rosenbrock,10,80,80,"(0.3746, 0.1458, 0.0302, 0.0264, 0.0079, -0.0256, 0.0069, 0.0519, 0.0359, 0.0272)","(0.1037, 0.0387, 0.0110, 0.0086, 0.0089, 0.0149, 0.0112, 0.0177, 0.0101, 0.0110)",8.457e+00,8.887e+00,0.150
GTOA,10000,Beale,2,5,10,"(3.0077, 0.4998)","(2.0553, 0.4062)",1.114e-04,1.517e+00,0.490
GTOA,10000,Beale,2,10,10,"(3.0009, 0.5003)","(2.4653, 0.3502)",3.132e-07,1.307e+00,0.429
GTOA,10000,Beale,2,20,10,"(3.0000, 0.5000)","(2.7002, 0.2924)",4.527e-15,9.131e-01,0.337
GTOA,10000,Beale,2,40,10,"(3.0000, 0.5000)","(3.0000, 0.2746)",9.962e-25,7.621e-01,0.305
GTOA,10000,Beale,2,60,10,"(3.0000, 0.5000)","(3.0000, 0.2746)",0.000e+00,7.621e-01,0.305
GTOA,10000,Beale,2,80,10,"(3.0000, 0.5000)","(3.0000, 0.2746)",0.000e+00,7.621e-01,0.305
GTOA,10000,Beale,2,5,20,"(2.9675, 0.4927)","(2.2004, 0.3219)",1.911e-04,9.974e-01,0.390
GTOA,10000,Beale,2,10,20,"(3.0014, 0.5003)","(2.9919, 0.2745)",4.876e-07,7.694e-01,0.306
GTOA,10000,Beale,2,20,20,"(3.0000, 0.5000)","(3.0000, 0.2746)",7.065e-14,7.621e-01,0.305
GTOA,10000,Beale,2,40,20,"(3.0000, 0.5000)","(3.0000, 0.2746)",2.062e-26,7.621e-01,0.305
GTOA,10000,Beale,2,60,20,"(3.0000, 0.5000)","(3.0000, 0.2746)",0.000e+00,7.621e-01,0.305
GTOA,10000,Beale,2,80,20,"(3.0000, 0.5000)","(3.0000, 0.2746)",0.000e+00,7.621e-01,0.305
GTOA,10000,Beale,2,5,40,"(2.9911, 0.4977)","(0.0630, 0.0158)",1.282e-05,4.700e-03,0.001
GTOA,10000,Beale,2,10,40,"(3.0000, 0.5000)","(0.0012, 0.0002)",1.918e-09,2.425e-06,0.000
GTOA,10000,Beale,2,20,40,"(3.0000, 0.5000)","(0.0000, 0.0000)",6.001e-15,2.139e-12,0.000
GTOA,10000,Beale,2,40,40,"(3.0000, 0.5000)","(0.0000, 0.0000)",5.088e-27,9.390e-25,0.000
GTOA,10000,Beale,2,60,40,"(3.0000, 0.5000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Beale,2,80,40,"(3.0000, 0.5000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Beale,2,5,80,"(3.0046, 0.5007)","(0.0185, 0.0050)",8.349e-06,5.085e-04,0.000
GTOA,10000,Beale,2,10,80,"(3.0002, 0.5001)","(0.0005, 0.0001)",1.031e-08,9.796e-07,0.000
GTOA,10000,Beale,2,20,80,"(3.0000, 0.5000)","(0.0000, 0.0000)",2.028e-16,2.206e-13,0.000
